People,"Population estimates, July 1, 2014,  (V2014)
","Population estimates base, April 1, 2010,  (V2014)
","Population, percent change - April 1, 2010 (estimates base) to July 1, 2014,  (V2014)
","Population estimates, July 1, 2013,  (V2013)","Population estimates base, April 1, 2010,  (V2013)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2013,  (V2013)","Persons under 5 years, percent, July 1, 2013,  (V2013)","Persons under 18 years, percent, July 1, 2013,  (V2013)","Persons 65 years and over, percent,  July 1, 2013,  (V2013)","Female persons, percent,  July 1, 2013,  (V2013)","White alone, percent, July 1, 2013,  (V2013)  (a)","Black or African American alone, percent, July 1, 2013,  (V2013)  (a)","American Indian and Alaska Native alone, percent, July 1, 2013,  (V2013)  (a)","Asian alone, percent, July 1, 2013,  (V2013)  (a)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2013,  (V2013)  (a)","Two or More Races, percent, July 1, 2013,  (V2013)","Hispanic or Latino, percent, July 1, 2013,  (V2013)  (b)","White alone, not Hispanic or Latino, percent, July 1, 2013,  (V2013)","Population, Census, April 1, 2010","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent, April 1, 2010","Female persons, percent, April 1, 2010","White alone, percent, April 1, 2010  (a)","Black or African American alone, percent, April 1, 2010  (a)","American Indian and Alaska Native alone, percent, April 1, 2010  (a)","Asian alone, percent, April 1, 2010  (a)","Native Hawaiian and Other Pacific Islander alone, percent, April 1, 2010  (a)","Two or More Races, percent, April 1, 2010","Hispanic or Latino, percent, April 1, 2010  (b)","White alone, not Hispanic or Latino, percent, April 1, 2010","Housing units,  July 1, 2013,  (V2013)","Housing units, April 1, 2010","Households, 2009-2013","Persons per household, 2009-2013","High school graduate or higher, percent of persons age 25 years+, 2009-2013","Bachelor's degree or higher, percent of persons age 25 years+, 2009-2013","Veterans, 2009-2013","With a disability, under age 65 years, percent, 2009-2013","Living in same house 1 year ago, percent of persons age 1 year+, 2009-2013","Foreign born persons, percent, 2009-2013","Language other than English spoken at home, percent of persons age 5 years+, 2009-2013","In civilian labor force, total, percent of population age 16 years+, 2009-2013","In civilian labor force, female, percent of population age 16 years+, 2009-2013","Mean travel time to work (minutes), workers age 16 years+, 2009-2013","Median household income (in 2013 dollars), 2009-2013","Per capita income in past 12 months (in 2013 dollars), 2009-2013","Owner-occupied housing unit rate, 2009-2013","Median value of owner-occupied housing units, 2009-2013","Median selected monthly owner costs -without a mortgage, 2009-2013","Median gross rent, 2009-2013 ","Persons  without health insurance, under age 65 years, percent","Persons in poverty, percent","Median selected monthly owner costs -with a mortgage, 2009-2013",Businesses,"Total employer establishments, 2012","Total employment, 2012","Total annual payroll, 2012","Total employment, percent change, 2011-2012","Total nonemployer establishments, 2012","All firms, 2007","Men-owned firms, 2007","Women-owned firms, 2007","Minority-owned firms, 2007","Nonminority-owned firms, 2007","Veteran-owned firms, 2007","Nonveteran-owned firms, 2007","Total accommodation and food services sales, 2007 ($1,000)   (c)","Total health care and social assistance receipts/revenue, 2007 ($1,000)   (c)","Total manufacturers shipments, 2007 ($1,000)   (c)","Total merchant wholesaler sales, 2007 ($1,000)      (c)","Total retail sales, 2007 ($1,000)   (c)","Total retail sales per capita, 2007   (c)","Building permits, 2013",Geography,"Population per square mile, 2010 ","Land area in square miles, 2010",FIPS Code
Rhode Island,1055173,1052931,0.2,1051511,1052567,-0.1,5.2,20.4,15.5,51.6,85.6,7.5,0.9,3.3,0.2,2.5,13.6,75.3,1052567,5.5,21.3,14.4,51.7,81.4,5.7,0.6,2.9,0.1,3.3,12.4,76.4,461640,463388,410058,2.46,85.2,31.3,70621,8.8,86.5,13.1,21.1,65.9,61.9,23.6,56361,30469,61.2,247400,673,918,13.6,14.3,1899,Rhode Island,28034(1),402977(1),17286685(1),-0.8(1),73154,96822,54882,26412,9823,81831,10713,78185,2148674,7161384,12061517,9182788,12286485,11646,928,Rhode Island,1018.1,1033.81,44
South Carolina,4832482,4625401,4.5,4774839,4625360,3.2,6.1,22.6,15.2,51.3,68.3,27.9,0.5,1.5,0.1,1.7,5.3,63.9,4625364,6.5,23.4,13.7,51.4,66.2,27.9,0.4,1.3,0.1,1.7,5.1,64.1,2158652,2137683,1780251,2.55,84.5,25.1,391660,10.0,84.7,4.8,6.8,60.8,57.1,23.5,44779,23943,69.1,137400,342,768,18.5,18.6,1205,South Carolina,101228(1),1548516(1),56665721(1),1.8(1),304327,360397,198870,99445,57557,287656,46445,282612,8383463,20408636,93977455,40498047,54298410,12273,24725,South Carolina,153.9,30060.70,45
South Dakota,853175,814191,4.8,844877,814180,3.8,7.1,24.6,14.9,49.8,85.9,1.9,8.9,1.2,0.1,2.1,3.4,83.3,814180,7.3,24.9,14.3,50.0,85.9,1.3,8.8,0.9,Z,2.1,2.7,84.7,370291,363438,323136,2.45,90.4,26.2,67886,8.0,83.6,2.8,6.8,68.6,64.8,16.9,49495,25740,68.0,132400,413,632,13.1,14.2,1204,South Dakota,25773(1),336526(1),11768782(1),3(1),61973,76997,34776,17074,2882,70219,7302,61426,1622751,4767185,13051128,11400476,12266218,15390,5482,South Dakota,10.7,75811.00,46
Tennessee,6549352,6346275,3.2,6495978,6346113,2.4,6.2,23.0,14.7,51.2,79.1,17.0,0.4,1.6,0.1,1.7,4.9,74.9,6346105,6.4,23.6,13.4,51.3,77.6,16.7,0.3,1.4,0.1,1.7,4.6,75.6,2840914,2812133,2475195,2.52,84.4,23.8,484901,11.1,84.6,4.6,6.6,61.5,56.6,24.3,44298,24409,67.8,139200,353,742,16.1,17.8,1202,Tennessee,130592(1),2344047(1),96087992(1),1.9(1),471026,545348,297113,141444,68218,459095,64657,442130,10626759,33799895,140447760,80116528,77547291,12563,23816,Tennessee,153.9,41234.90,47
Texas,26956958,25146104,7.2,26448193,25145561,5.2,7.3,26.6,11.2,50.3,80.3,12.4,1.0,4.3,0.1,1.8,38.4,44.0,25145561,7.7,27.3,10.3,50.4,70.4,11.8,0.7,3.8,0.1,2.7,37.6,45.3,10255642,9977436,8886471,2.82,81.2,26.7,1583272,8.2,82.8,16.3,34.7,64.7,58.2,25.0,51900,26019,63.3,128900,452,851,24.6,17.5,1443,Texas,537839(1),9350829(1),446679425(1),4(1),2014124,2164852,1090854,609947,723057,1341716,199491,1799977,42054592,113830198,593541502,424238194,311334781,13061,147460,Texas,96.3,261231.71,48
Utah,2942902,2763885,6.5,2900872,2763885,5.0,8.8,30.9,9.8,49.7,91.6,1.3,1.5,2.3,1.0,2.3,13.4,79.7,2763885,9.5,31.5,9.0,49.8,86.1,1.1,1.2,2.0,0.9,2.7,13.0,80.4,1006106,979709,886770,3.12,90.9,30.3,143771,6.4,82.8,8.2,14.3,68.1,60.0,21.4,58821,23873,70.1,212800,380,856,15.4,12.7,1466,Utah,70454(1),1070986(1),43317548(1),4.1(1),199393,246393,120506,61487,16042,215536,17716,207551,3980570,10860360,42431657,25417368,36574240,13730,15818,Utah,33.6,82169.62,49
Vermont,626562,625745,0.1,626630,625745,0.1,4.9,19.6,16.4,50.7,95.2,1.2,0.4,1.4,Z,1.8,1.7,93.8,625741,5.1,20.7,14.6,50.7,95.3,1.0,0.4,1.3,Z,1.7,1.5,94.3,323920,322539,257004,2.34,91.4,34.8,48456,9.8,86.6,4.1,5.2,67.5,64.3,22.2,54267,29167,71.0,216800,631,875,8.6,12.3,1546,Vermont,21161(1),265460(1),9540625(1),0.5(1),59836,78729,39008,20447,1794,73001,7232,64096,1367630,3537058,10751461,5121694,9310119,15005,1499,Vermont,67.9,9216.66,50
Virginia,8326289,8001023,4.1,8260405,8001031,3.2,6.2,22.6,13.4,50.8,70.8,19.7,0.5,6.1,0.1,2.7,8.6,63.6,8001024,6.4,23.2,12.2,50.9,68.6,19.4,0.4,5.5,0.1,2.9,7.9,64.8,3412460,3364939,3022739,2.60,87.5,35.2,726470,7.6,84.7,11.3,14.9,64.9,61.0,27.7,63907,33493,67.3,244600,422,1087,14.0,11.7,1767,Virginia,192730(1),3089241(1),150556416(1),2(1),529636,638643,330968,192033,138256,470608,79248,509401,15340483,37522004,92417797,60513396,105663299,13687,31944,Virginia,202.6,39490.09,51
West Virginia,1850326,1853033,-0.1,1854304,1852999,0.1,5.5,20.6,17.3,50.6,93.8,3.6,0.2,0.8,Z,1.5,1.4,92.7,1852994,5.6,20.9,16.0,50.7,93.9,3.4,0.2,0.7,Z,1.5,1.2,93.2,879449,881917,741390,2.43,83.9,18.3,159448,14.2,88.1,1.4,2.4,54.5,49.7,25.5,41043,22966,73.4,98500,287,611,16.8,18.5,965,West Virginia,37906(1),579583(1),21204523(1),2(1),89213,120381,62474,33785,4433,110819,15115,94121,2553258,9874735,25080573,11036467,20538829,11340,2575,West Virginia,77.1,24038.21,54
Wisconsin,5757564,5687289,1.2,5742713,5686983,1.0,6.0,22.8,14.8,50.3,88.1,6.5,1.1,2.5,Z,1.7,6.3,82.5,5686986,6.3,23.6,13.7,50.4,86.2,6.3,1.0,2.3,Z,1.8,5.9,83.3,2633330,2624358,2288332,2.43,90.4,26.8,408870,7.8,85.8,4.7,8.6,67.9,64.2,21.7,52413,27523,68.1,167100,527,759,10.6,13.5,1445,Wisconsin,138246(1),2388855(1),99665591(1),1.5(1),336059,433797,212462,112421,26030,387603,39310,352286,9247311,33841343,163563195,59996244,72283321,12904,13869,Wisconsin,105.0,54157.80,55
Wyoming,584153,563767,3.6,582658,563626,3.4,6.6,23.6,13.5,49.0,92.7,1.7,2.6,0.9,0.1,1.9,9.7,84.1,563626,7.1,24.0,12.4,49.0,90.7,0.8,2.4,0.8,0.1,2.2,8.9,85.9,265438,261868,222846,2.50,92.4,24.7,50852,8.5,81.8,3.3,6.8,68.4,63.0,18.3,57406,28902,70.1,185900,375,764,15.4,10.9,1352,Wyoming,20635(1),214241(1),9589138(1),2.8(1),46103,61179,26121,15608,2655,54526,5040,48717,1469008,2576267,8834810,6352890,8957553,17114,2300,Wyoming,5.8,97093.14,56
